"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,AFGANISTAN,9999,KABUL/HKIA,KABUL/HKIA,1,"Alegeri Prezidentiale",1,0,246,0,246,0,239,7,591,345,202,37
48,STRĂINĂTATE,AFGANISTAN,9999,KANDAHAR/KAF,KANDAHAR/KAF,2,"Alegeri Prezidentiale",2,0,455,0,455,0,437,18,597,142,357,80
48,STRĂINĂTATE,"AFRICA DE SUD",9999,PRETORIA,PRETORIA,3,"Alegeri Prezidentiale",1,0,104,0,104,0,104,0,409,305,93,11
48,STRĂINĂTATE,"AFRICA DE SUD",9999,"CAPE TOWN","CAPE TOWN",4,"Alegeri Prezidentiale",1,0,94,0,94,0,94,0,200,106,85,9
48,STRĂINĂTATE,ALBANIA,9999,TIRANA,TIRANA,5,"Alegeri Prezidentiale",1,0,41,0,41,0,41,0,315,274,35,6
48,STRĂINĂTATE,ALGERIA,9999,ALGER,ALGER,6,"Alegeri Prezidentiale",1,0,28,0,28,0,28,0,100,72,25,3
48,STRĂINĂTATE,ANGOLA,9999,LUANDA,LUANDA,7,"Alegeri Prezidentiale",1,0,8,0,8,0,8,0,100,92,7,1
48,STRĂINĂTATE,"ARABIA SAUDITA",9999,RIAD,RIAD,8,"Alegeri Prezidentiale",1,0,165,0,165,0,164,1,503,338,152,12
48,STRĂINĂTATE,ARMENIA,9999,EREVAN,EREVAN,10,"Alegeri Prezidentiale",1,0,23,0,23,0,23,0,200,177,21,2
48,STRĂINĂTATE,AUSTRALIA,9999,CANBERRA,CANBERRA,11,"Alegeri Prezidentiale",1,0,33,0,33,0,33,0,360,327,27,6
48,STRĂINĂTATE,AUSTRALIA,9999,MELBOURNE,MELBOURNE,12,"Alegeri Prezidentiale",1,0,448,0,448,0,446,2,2000,1552,404,42
48,STRĂINĂTATE,AUSTRALIA,9999,ADELAIDE,ADELAIDE,13,"Alegeri Prezidentiale",1,0,75,0,75,0,74,1,500,425,70,4
48,STRĂINĂTATE,AUSTRALIA,9999,PERTH,PERTH,14,"Alegeri Prezidentiale",1,0,221,0,221,0,220,1,1008,787,205,15
48,STRĂINĂTATE,AUSTRALIA,9999,SYDNEY,SYDNEY,15,"Alegeri Prezidentiale",1,0,356,0,356,0,355,1,1600,1244,331,24
48,STRĂINĂTATE,AUSTRALIA,9999,BRISBANE,BRISBANE,16,"Alegeri Prezidentiale",1,0,170,0,170,0,169,1,1600,1430,157,12
48,STRĂINĂTATE,"NOUA ZEELANDA",9999,AUCKLAND,AUCKLAND,17,"Alegeri Prezidentiale",1,0,206,0,206,0,205,1,1000,794,185,20
48,STRĂINĂTATE,AUSTRIA,9999,INNSBRUCK,INNSBRUCK,31,"Alegeri Prezidentiale",1,0,1172,0,1172,0,1162,10,7000,5828,1102,60
48,STRĂINĂTATE,AZERBAIDJAN,9999,BAKU,BAKU,35,"Alegeri Prezidentiale",1,0,37,0,37,0,37,0,400,363,30,7
48,STRĂINĂTATE,BELARUS,9999,MINSK,MINSK,36,"Alegeri Prezidentiale",1,0,31,0,31,0,31,0,100,69,23,8
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,44,"Alegeri Prezidentiale",1,0,825,0,825,0,817,8,10000,9175,774,43
48,STRĂINĂTATE,BELGIA,9999,BRUGES,BRUGES,57,"Alegeri Prezidentiale",1,0,1752,0,1752,0,1734,18,10000,8248,1646,88
48,STRĂINĂTATE,"BOSNIA SI HERTEGOVINA",9999,SARAJEVO,SARAJEVO,60,"Alegeri Prezidentiale",1,0,58,0,58,0,53,5,401,343,45,8
48,STRĂINĂTATE,BULGARIA,9999,SOFIA,SOFIA,63,"Alegeri Prezidentiale",1,0,310,0,310,0,305,5,4000,3690,281,24
48,STRĂINĂTATE,"REPUBLICA CEHA",9999,PRAGA,PRAGA,73,"Alegeri Prezidentiale",1,0,949,0,949,0,939,10,10000,9051,894,45
48,STRĂINĂTATE,"REPUBLICA POPULARA DEMOCRATA COREEANA",9999,PHENIAN,PHENIAN,76,"Alegeri Prezidentiale",1,0,7,0,7,0,6,1,51,44,5,1
48,STRĂINĂTATE,"REPUBLICA COREEA",9999,SEOUL,SEOUL,77,"Alegeri Prezidentiale",1,0,101,0,101,0,100,1,2500,2399,91,9
48,STRĂINĂTATE,CHINA,9999,BEIJING,BEIJING,80,"Alegeri Prezidentiale",1,0,113,0,113,0,111,2,301,188,88,23
48,STRĂINĂTATE,CHINA,9999,SHANGHAI,SHANGHAI,81,"Alegeri Prezidentiale",1,0,150,0,150,0,147,3,1000,850,137,10
